State,Acronym
Alaska,AK
Alabama,AL
Arkansas,AR
Arizona,AZ
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Iowa,IA
Idaho,ID
Illinois,IL
Indiana,IN
Kansas,KS
Louisiana,LA
Maryland,MD
Maine,ME
Michigan,MI
Minnesota,MN
Missouri,MO
Mississippi,MS
Montana,MT
North Carolina,NC
North Dakota,ND
Nebraska,NE
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
Nevada,NV
New York,NY
Ohio,OH
Oklahoma,OK
Oregon,OR
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Washington,WA
Wisconsin,WI
West Virginia,WV
Wyoming,WY
Kentucky,KY
Massachusetts,MA
Pennsylvania,PA
Virginia,VA
