STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE,ID_COUNTY
1,1,Autauga,Alabama,54571,32.500389,-86.494165,1_1
1,3,Baldwin,Alabama,182265,30.548923,-87.762381,1_3
1,5,Barbour,Alabama,27457,31.844036,-85.310038,1_5
1,7,Bibb,Alabama,22915,33.030921,-87.127659,1_7
1,9,Blount,Alabama,57322,33.955243,-86.591491,1_9
1,11,Bullock,Alabama,10914,32.116327,-85.701192,1_11
1,13,Butler,Alabama,20947,31.773539,-86.653550,1_13
1,15,Calhoun,Alabama,118572,33.725460,-85.819442,1_15
1,17,Chambers,Alabama,34215,32.860439,-85.266474,1_17
1,19,Cherokee,Alabama,25989,34.179333,-85.629194,1_19
1,21,Chilton,Alabama,43643,32.877547,-86.687406,1_21
1,23,Choctaw,Alabama,13859,32.016562,-88.264164,1_23
1,25,Clarke,Alabama,25833,31.685685,-87.815673,1_25
1,27,Clay,Alabama,13932,33.272412,-85.820227,1_27
1,29,Cleburne,Alabama,14972,33.629770,-85.494315,1_29
1,31,Coffee,Alabama,49948,31.354433,-85.904715,1_31
1,33,Colbert,Alabama,54428,34.723385,-87.685151,1_33
1,35,Conecuh,Alabama,13228,31.418674,-86.996483,1_35
1,37,Coosa,Alabama,11539,32.975932,-86.155035,1_37
1,39,Covington,Alabama,37765,31.282449,-86.410955,1_39
1,41,Crenshaw,Alabama,13906,31.743487,-86.297080,1_41
1,43,Cullman,Alabama,80406,34.162362,-86.831859,1_43
1,45,Dale,Alabama,50251,31.383346,-85.641269,1_45
1,47,Dallas,Alabama,43820,32.408815,-87.034955,1_47
1,49,DeKalb,Alabama,71109,34.455110,-85.817208,1_49
1,51,Elmore,Alabama,79303,32.559652,-86.225647,1_51
1,53,Escambia,Alabama,38319,31.088737,-87.282053,1_53
1,55,Etowah,Alabama,104430,34.013693,-86.025393,1_55
1,57,Fayette,Alabama,17241,33.726422,-87.770355,1_57
1,59,Franklin,Alabama,31704,34.460481,-87.793594,1_59
1,61,Geneva,Alabama,26790,31.094260,-85.788849,1_61
1,63,Greene,Alabama,9045,32.830505,-87.924000,1_63
1,65,Hale,Alabama,15760,32.775804,-87.626084,1_65
1,67,Henry,Alabama,17302,31.478593,-85.268828,1_67
1,69,Houston,Alabama,101547,31.204550,-85.391221,1_69
1,71,Jackson,Alabama,53227,34.731984,-85.938698,1_71
1,73,Jefferson,Alabama,658466,33.518601,-86.814688,1_73
1,75,Lamar,Alabama,14564,33.762769,-88.109649,1_75
1,77,Lauderdale,Alabama,92709,34.866179,-87.608759,1_77
1,79,Lawrence,Alabama,34339,34.543683,-87.272414,1_79
1,81,Lee,Alabama,140247,32.588092,-85.345833,1_81
1,83,Limestone,Alabama,82782,34.815612,-86.938972,1_83
1,85,Lowndes,Alabama,11299,32.162415,-86.618688,1_85
1,87,Macon,Alabama,21452,32.425739,-85.715007,1_87
